Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_520.jpg;0;0;0;2.55954;104.9087;90.56838;359.5154;61.05181;359.8875
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_587.jpg;1.483179;0;0;2.550472;105.0063;90.74696;359.4913;61.13517;359.8413
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_653.jpg;4.495241;0;0;2.541175;105.0771;90.88146;359.4737;61.53242;359.8713
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_719.jpg;7.457127;0;0;2.527867;105.1447;91.01684;359.4521;62.27789;359.974
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_786.jpg;7.437393;0;0;2.516245;105.23;91.19897;359.4456;63.68616;0.1924039
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_853.jpg;4.44158;0;0;2.50667;105.2929;91.33586;359.4736;64.49356;0.3300929
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_920.jpg;1.400106;0;0;2.495126;105.3557;91.47245;359.5124;64.96776;0.4346211
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_986.jpg;0;0;0;2.486247;105.4402;91.65343;359.5663;65.11138;0.5067814
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_053.jpg;0;0;0;2.477797;105.5033;91.78862;359.6085;65.11993;0.5301892
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_119.jpg;0;0;0;2.466214;105.5661;91.92333;359.6442;65.12094;0.542371
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_186.jpg;0;0;0;2.457903;105.6494;92.10208;359.6846;65.11705;0.5308681
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_254.jpg;1.50581;0;0;2.449367;105.7109;92.23577;359.7076;65.19503;0.5225532
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_319.jpg;4.472798;0;0;2.437747;105.7705;92.36974;359.7295;65.54102;0.5413577
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_385.jpg;7.493761;0;0;2.427632;105.8446;92.54946;359.7585;66.56637;0.645779
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_453.jpg;10.51729;0;0;2.41655;105.8957;92.68533;359.7926;67.74889;0.7800764
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_521.jpg;10.50009;0;0;2.399167;105.9421;92.82207;359.834;69.21;0.9673266
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_590.jpg;7.44092;0;0;2.390506;106.0026;93.00542;359.9712;70.77928;1.108909
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_654.jpg;4.452456;0;0;2.381533;106.0471;93.14164;0.01636948;71.57668;1.092974
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_722.jpg;1.441863;0;0;2.373326;106.0905;93.2765;359.9826;72.04088;1.01856
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_789.jpg;0;0;0;2.365406;106.1483;93.45539;359.9223;72.16862;0.8779855
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_855.jpg;2.997303;0;0;2.357452;106.19;93.58942;359.8736;72.38901;0.7930683
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_921.jpg;2.94043;0;0;2.346098;106.2295;93.72357;359.8275;72.85458;0.7387851
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_16_988.jpg;0;0;0;2.338238;106.2829;93.90149;359.7634;73.12926;0.6199157
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_056.jpg;0;0;0;2.330196;106.3231;94.03424;359.7103;73.15772;0.5158046
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_121.jpg;0;0;0;2.319719;106.3632;94.16656;359.6589;73.16135;0.4073506
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_188.jpg;0;0;0;2.311677;106.4164;94.34244;359.5979;73.16116;0.2618345
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_255.jpg;0;0;0;2.303808;106.4561;94.47386;359.5536;73.1615;0.1586172
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_321.jpg;0;0;0;2.293314;106.4956;94.60487;359.5117;73.16183;0.06172166
